StudentID,Professor Name,CourseID,ExamDuration(in mins)
1001,Yusuf Evren Aykaç,CENG113,90
1001,Metin Aktaş,PHYS101,120
1001,Furkan Soysal,CHEM101,90
1001,Müberra Allahverdi,MATH101,120
1001,Muhammed Fatih Demirci,CENG101,60
1002,Yusuf Evren Aykaç,CENG113,90
1002,Metin Aktaş,PHYS101,120
1002,Furkan Soysal,CHEM101,90
1002,Müberra Allahverdi,MATH101,120
1002,Muhammed Fatih Demirci,CENG101,60
1003,Yusuf Evren Aykaç,CENG113,90
1003,Metin Aktaş,PHYS101,120
1003,Furkan Soysal,CHEM101,90
1003,Müberra Allahverdi,MATH101,120
1003,Muhammed Fatih Demirci,CENG101,60
1004,Yusuf Evren Aykaç,CENG113,90
1004,Metin Aktaş,PHYS101,120
1004,Furkan Soysal,CHEM101,90
1004,Müberra Allahverdi,MATH101,120
1004,Muhammed Fatih Demirci,CENG101,60
1005,Yusuf Evren Aykaç,CENG113,90
1005,Metin Aktaş,PHYS101,120
1005,Furkan Soysal,CHEM101,90
1005,Müberra Allahverdi,MATH101,120
1005,Muhammed Fatih Demirci,CENG101,60
1006,Yusuf Evren Aykaç,CENG113,90
1006,Metin Aktaş,PHYS101,120
1006,Furkan Soysal,CHEM101,90
1006,Müberra Allahverdi,MATH101,120
1006,Muhammed Fatih Demirci,CENG101,60
1007,Yusuf Evren Aykaç,CENG113,90
1007,Metin Aktaş,PHYS101,120
1007,Furkan Soysal,CHEM101,90
1007,Müberra Allahverdi,MATH101,120
1007,Muhammed Fatih Demirci,CENG101,60
1008,Yusuf Evren Aykaç,CENG113,90
1008,Metin Aktaş,PHYS101,120
1008,Furkan Soysal,CHEM101,90
1008,Müberra Allahverdi,MATH101,120
1008,Muhammed Fatih Demirci,CENG101,60
1009,Yusuf Evren Aykaç,CENG113,90
1009,Metin Aktaş,PHYS101,120
1009,Furkan Soysal,CHEM101,90
1009,Müberra Allahverdi,MATH101,120
1009,Muhammed Fatih Demirci,CENG101,60
1010,Yusuf Evren Aykaç,CENG113,90
1010,Metin Aktaş,PHYS101,120
1010,Furkan Soysal,CHEM101,90
1010,Müberra Allahverdi,MATH101,120
1010,Muhammed Fatih Demirci,CENG101,60
1011,Yusuf Evren Aykaç,CENG113,90
1011,Metin Aktaş,PHYS101,120
1011,Furkan Soysal,CHEM101,90
1011,Müberra Allahverdi,MATH101,120
1011,Muhammed Fatih Demirci,CENG101,60
1012,Yusuf Evren Aykaç,CENG113,90
1012,Metin Aktaş,PHYS101,120
1012,Furkan Soysal,CHEM101,90
1012,Müberra Allahverdi,MATH101,120
1012,Muhammed Fatih Demirci,CENG101,60
1013,Yusuf Evren Aykaç,CENG113,90
1013,Metin Aktaş,PHYS101,120
1013,Furkan Soysal,CHEM101,90
1013,Müberra Allahverdi,MATH101,120
1013,Muhammed Fatih Demirci,CENG101,60
1014,Yusuf Evren Aykaç,CENG113,90
1014,Metin Aktaş,PHYS101,120
1014,Furkan Soysal,CHEM101,90
1014,Müberra Allahverdi,MATH101,120
1014,Muhammed Fatih Demirci,CENG101,60
1015,Yusuf Evren Aykaç,CENG113,90
1015,Metin Aktaş,PHYS101,120
1015,Furkan Soysal,CHEM101,90
1015,Müberra Allahverdi,MATH101,120
1015,Muhammed Fatih Demirci,CENG101,60
1016,Yusuf Evren Aykaç,CENG113,90
1016,Metin Aktaş,PHYS101,120
1016,Furkan Soysal,CHEM101,90
1016,Müberra Allahverdi,MATH101,120
1016,Muhammed Fatih Demirci,CENG101,60
1017,Yusuf Evren Aykaç,CENG113,90
1017,Metin Aktaş,PHYS101,120
1017,Furkan Soysal,CHEM101,90
1017,Müberra Allahverdi,MATH101,120
1017,Muhammed Fatih Demirci,CENG101,60
1018,Yusuf Evren Aykaç,CENG113,90
1018,Metin Aktaş,PHYS101,120
1018,Furkan Soysal,CHEM101,90
1018,Müberra Allahverdi,MATH101,120
1018,Muhammed Fatih Demirci,CENG101,60
1019,Yusuf Evren Aykaç,CENG113,90
1019,Metin Aktaş,PHYS101,120
1019,Furkan Soysal,CHEM101,90
1019,Müberra Allahverdi,MATH101,120
1019,Muhammed Fatih Demirci,CENG101,60
1020,Yusuf Evren Aykaç,CENG113,90
1020,Metin Aktaş,PHYS101,120
1020,Furkan Soysal,CHEM101,90
1020,Müberra Allahverdi,MATH101,120
1020,Muhammed Fatih Demirci,CENG101,60
2001,Muhammed Abdullah Bülbül,CENG201,90
2001,Yusuf Evren Aykaç,CENG113,90
2001,Müberra Allahverdi,MATH101,120
2001,Osman Serdar Gedik,CENG203,120
2001,Shafqat Ur Rehman,CENG209,90
2001,Nezakat Sevda Javanshir,ENGR201,120
2001,Fatma Küçük,CENG207,120
2002,Muhammed Abdullah Bülbül,CENG201,90
2002,Yusuf Evren Aykaç,CENG113,90
2002,Osman Serdar Gedik,CENG203,120
2002,Shafqat Ur Rehman,CENG209,90
2002,Nezakat Sevda Javanshir,ENGR201,120
2002,Fatma Küçük,CENG207,120
2003,Muhammed Abdullah Bülbül,CENG201,90
2003,Osman Serdar Gedik,CENG203,120
2003,Shafqat Ur Rehman,CENG209,90
2003,Nezakat Sevda Javanshir,ENGR201,120
2003,Fatma Küçük,CENG207,120
2004,Muhammed Abdullah Bülbül,CENG201,90
2004,Müberra Allahverdi,MATH101,120
2004,Osman Serdar Gedik,CENG203,120
2004,Shafqat Ur Rehman,CENG209,90
2004,Nezakat Sevda Javanshir,ENGR201,120
2004,Fatma Küçük,CENG207,120
2005,Muhammed Abdullah Bülbül,CENG201,90
2005,Osman Serdar Gedik,CENG203,120
2005,Shafqat Ur Rehman,CENG209,90
2005,Nezakat Sevda Javanshir,ENGR201,120
2005,Fatma Küçük,CENG207,120
2005,Furkan Soysal,CHEM101,90
2006,Muhammed Abdullah Bülbül,CENG201,90
2006,Osman Serdar Gedik,CENG203,120
2006,Shafqat Ur Rehman,CENG209,90
2006,Nezakat Sevda Javanshir,ENGR201,120
2006,Fatma Küçük,CENG207,120
2007,Muhammed Abdullah Bülbül,CENG201,90
2007,Yusuf Evren Aykaç,CENG113,90
2007,Müberra Allahverdi,MATH101,120
2007,Osman Serdar Gedik,CENG203,120
2007,Shafqat Ur Rehman,CENG209,90
2007,Nezakat Sevda Javanshir,ENGR201,120
2007,Fatma Küçük,CENG207,120
2008,Muhammed Abdullah Bülbül,CENG201,90
2008,Yusuf Evren Aykaç,CENG113,90
2008,Osman Serdar Gedik,CENG203,120
2008,Muhammed Fatih Demirci,CENG101,60
2008,Shafqat Ur Rehman,CENG209,90
2008,Nezakat Sevda Javanshir,ENGR201,120
2008,Fatma Küçük,CENG207,120
2009,Muhammed Abdullah Bülbül,CENG201,90
2009,Osman Serdar Gedik,CENG203,120
2009,Shafqat Ur Rehman,CENG209,90
2009,Nezakat Sevda Javanshir,ENGR201,120
2009,Fatma Küçük,CENG207,120
2010,Muhammed Abdullah Bülbül,CENG201,90
2010,Osman Serdar Gedik,CENG203,120
2010,Shafqat Ur Rehman,CENG209,90
2010,Nezakat Sevda Javanshir,ENGR201,120
2010,Fatma Küçük,CENG207,120
2011,Muhammed Abdullah Bülbül,CENG201,90
2011,Yusuf Evren Aykaç,CENG113,90
2011,Osman Serdar Gedik,CENG203,120
2011,Shafqat Ur Rehman,CENG209,90
2011,Nezakat Sevda Javanshir,ENGR201,120
2011,Fatma Küçük,CENG207,120
2012,Muhammed Abdullah Bülbül,CENG201,90
2012,Osman Serdar Gedik,CENG203,120
2012,Shafqat Ur Rehman,CENG209,90
