StudentID,Professor Name,CourseID,ExamDuration(in mins)
1067,Yusuf Evren Aykaç,CENG113,90
1068,Arzu Erman,TİT101,45
1069,Fadi Yilmaz,CENG303,45
1070,Mustafa Yeniad,CENG301,120
1071,Metin Aktas,PHYS101,90
1072,Ahmet Esad Top,CENG317,60
1073,Yusuf Evren Aykaç,CENG113,60
1074,Furkan Soysal,CHEM101,90
1075,Furkan Soysal,CHEM101,90
1076,Ahmet Esad Top,CENG317,60
1077,Şükrü Torun,CENG305,60
1078,Metin Aktaş,PHYS101,90
1079,Metin Aktas,PHYS101,90
1080,Furkan Soysal,CHEM101,45
1081,Fadi Yilmaz,CENG303,45
1082,Osman Serdar Gedik,CENG307,120
1083,Metin Aktas,PHYS101,60
1084,Mustafa Yeniad,CENG301,120
1085,Metin Aktas,PHYS101,60
1086,Furkan Soysal,CHEM101,60
1087,Fadi Yilmaz,CENG303,60
1088,Mustafa Yeniad,CENG301,90
1089,Yusuf Evren Aykaç,CENG113,45
1090,Arzu Erman,TİT101,90
1091,Fatih Nar,CENG114,90
1092,Furkan Soysal,CHEM101,60
1093,Fatih Nar,CENG114,60
1094,Metin Aktas,PHYS101,120
1095,Furkan Soysal,CHEM101,90
1096,Arzu Erman,TİT101,120
1097,Fatih Nar,CENG114,90
1098,Osman Serdar Gedik,CENG307,120
1099,Arzu Erman,TİT101,45
1100,Osman Serdar Gedik,CENG307,120
1101,Fadi Yilmaz,CENG303,60
1102,Arzu Erman,TİT101,90
1103,Fatih Nar,CENG114,45
1104,Yusuf Evren Aykaç,CENG113,90
1105,Ahmet Esad Top,CENG317,60
1106,Mustafa Yeniad,CENG301,45
1107,Mustafa Yeniad,CENG301,60
1108,Furkan Soysal,CHEM101,60
1109,Yusuf Evren Aykaç,CENG113,120
1110,Fatih Nar,CENG114,45
1111,Osman Serdar Gedik,CENG307,120
1112,Fatih Nar,CENG114,90
1113,Ahmet Esad Top,CENG317,120
1114,Yusuf Evren Aykaç,CENG113,60
1115,Fatih Nar,CENG114,90
1116,Yusuf Evren Aykaç,CENG113,60
1117,Fatih Nar,CENG114,45
1118,Fatih Nar,CENG114,120
1119,Metin Aktas,PHYS101,120
1120,Yusuf Evren Aykaç,CENG113,45
1121,Arzu Erman,TİT101,90
1122,Furkan Soysal,CHEM101,45
1123,Metin Aktas,PHYS101,45
1124,Fadi Yilmaz,CENG303,60
1125,Yusuf Evren Aykaç,CENG113,45
1126,Mustafa Yeniad,CENG301,45
1127,sükrü Torun,CENG305,120
1128,Ahmet Esad Top,CENG317,45
1129,Mustafa Yeniad,CENG301,45
1130,Şükrü Torun,CENG305,45
1131,Arzu Erman,TİT101,90
1132,Metin Aktaş,PHYS101,45
1133,Mustafa Yeniad,CENG301,120
1134,Fatih Nar,CENG114,45
1135,Fadi Yilmaz,CENG303,90
1136,Yusuf Evren Aykaç,CENG113,60
1137,Arzu Erman,TİT101,60
1138,Furkan Soysal,CHEM101,90
1139,Metin Aktaş,PHYS101,60
1140,Furkan Soysal,CHEM101,60
1141,Ahmet Esad Top,CENG317,90
1142,Mustafa Yeniad,CENG301,60
1143,Arzu Erman,TİT101,120
1144,Yusuf Evren Aykaç,CENG113,45
1145,Şükrü Torun,CENG305,60
1146,Furkan Soysal,CHEM101,120
1147,Mustafa Yeniad,CENG301,90
1148,Metin Aktaş,PHYS101,60
1149,Şükrü Torun,CENG305,45
1150,Furkan Soysal,CHEM101,45
1151,Mustafa Yeniad,CENG301,60
1152,Osman Serdar Gedik,CENG307,120
1153,Yusuf Evren Aykaç,CENG113,60
1154,Şükrü Torun,CENG305,120
1155,Fadi Yilmaz,CENG303,120
1156,Mustafa Yeniad,CENG301,90
1157,Osman Serdar Gedik,CENG307,90
1158,Osman Serdar Gedik,CENG307,120
1159,Fadi Yilmaz,CENG303,45
1160,Fadi Yilmaz,CENG303,60
1161,Osman Serdar Gedik,CENG307,60
1162,Fatih Nar,CENG114,60
1163,Mustafa Yeniad,CENG301,90
1164,Furkan Soysal,CHEM101,90
1165,Furkan Soysal,CHEM101,45
1166,Fadi Yilmaz,CENG303,60
1167,Arzu Erman,TİT101,90
1168,Furkan Soysal,CHEM101,45
1169,Arzu Erman,TİT101,60
1170,Mustafa Yeniad,CENG301,90
1171,Fatih Nar,CENG114,60
1172,Fadi Yilmaz,CENG303,45
1173,Fatih Nar,CENG114,45
1174,Şükrü Torun,CENG305,45
1175,Şükrü Torun,CENG305,120
1176,Osman Serdar Gedik,CENG307,90
1177,Mustafa Yeniad,CENG301,60
1178,Furkan Soysal,CHEM101,45
1179,Furkan Soysal,CHEM101,45
1180,Mustafa Yeniad,CENG301,120
1181,Osman Serdar Gedik,CENG307,120
1182,Fatih Nar,CENG114,60
1183,Furkan Soysal,CHEM101,90
1184,Ahmet Esad Top,CENG317,45
1185,Yusuf Evren Aykaç,CENG113,90
1186,Fadi Yilmaz,CENG303,60
1187,Metin Aktaş,PHYS101,120
1188,Yusuf Evren Aykaç,CENG113,90
1189,Şükrü Torun,CENG305,120
1190,Yusuf Evren Aykaç,CENG113,60
1191,Şükrü Torun,CENG305,45
1192,Arzu Erman,TİT101,120
1193,Ahmet Esad Top,CENG317,45
1194,Yusuf Evren Aykaç,CENG113,120
1195,Yusuf Evren Aykaç,CENG113,120
1196,Osman Serdar Gedik,CENG307,90
1197,Şükrü Torun,CENG305,45
1198,Arzu Erman,TİT101,60
1199,Yusuf Evren Aykaç,CENG113,120
1200,Fatih Nar,CENG114,120
1201,Fadi Yilmaz,CENG303,120
1202,Yusuf Evren Aykaç,CENG113,45
1203,Osman Serdar Gedik,CENG307,120
1204,Osman Serdar Gedik,CENG307,90
1205,Yusuf Evren Aykaç,CENG113,120
1206,Furkan Soysal,CHEM101,90
1207,Metin Aktaş,PHYS101,60
1208,Ahmet Esad Top,CENG317,45
